date,open,high,low,close,volume
2020-08-04 00:00:00+05:30,3.0,3.0,2.85,2.95,94555
2020-08-05 00:00:00+05:30,2.85,3.1,2.85,3.05,43750
2020-08-06 00:00:00+05:30,3.1,3.2,3.0,3.15,60675
2020-08-07 00:00:00+05:30,3.1,3.3,3.1,3.3,57950
2020-08-10 00:00:00+05:30,3.45,3.45,3.3,3.45,9625
2020-08-11 00:00:00+05:30,3.6,3.6,3.6,3.6,6220
2020-08-12 00:00:00+05:30,3.8,3.8,3.8,3.8,27325
2020-10-01 00:00:00+05:30,2.7,2.75,2.55,2.7,10765
2020-10-05 00:00:00+05:30,2.75,2.8,2.75,2.8,6145
2020-10-06 00:00:00+05:30,2.65,2.75,2.65,2.75,10520
2020-10-07 00:00:00+05:30,2.6,2.6,2.6,2.6,10245
2020-10-08 00:00:00+05:30,2.6,2.8,2.35,2.75,21465
2020-10-09 00:00:00+05:30,2.5,3.0,2.45,2.75,8355
2020-10-12 00:00:00+05:30,2.8,2.8,2.45,2.8,20185
2020-10-13 00:00:00+05:30,2.55,2.8,2.55,2.8,19345
2020-10-14 00:00:00+05:30,2.55,2.85,2.55,2.85,17090
2020-10-15 00:00:00+05:30,2.9,2.9,2.9,2.9,900
2020-10-16 00:00:00+05:30,2.85,2.95,2.7,2.9,5565
2020-10-19 00:00:00+05:30,2.95,2.95,2.95,2.95,7875
2020-10-20 00:00:00+05:30,2.65,2.95,2.65,2.65,175
2020-10-21 00:00:00+05:30,2.95,2.95,2.7,2.85,15085
2020-10-22 00:00:00+05:30,3.15,3.15,2.6,3.15,5180
2020-10-23 00:00:00+05:30,3.4,3.4,2.85,3.25,14490
2020-10-26 00:00:00+05:30,3.55,3.55,2.95,3.35,8495
2020-10-27 00:00:00+05:30,3.4,3.4,3.05,3.25,5390
2020-10-28 00:00:00+05:30,2.95,3.25,2.95,3.25,8915
2020-10-29 00:00:00+05:30,3.15,3.15,2.9,3.15,8400
2020-10-30 00:00:00+05:30,3.0,3.4,3.0,3.25,8385
2020-11-02 00:00:00+05:30,3.15,3.25,3.15,3.25,6565
2020-11-03 00:00:00+05:30,3.35,3.35,3.1,3.2,4500
2020-11-04 00:00:00+05:30,3.25,3.25,3.25,3.25,5620
2020-11-05 00:00:00+05:30,2.95,3.25,2.95,3.2,5435
2020-11-06 00:00:00+05:30,2.9,3.3,2.9,3.3,5970
2020-11-09 00:00:00+05:30,3.0,3.2,3.0,3.05,6415
2020-11-10 00:00:00+05:30,2.95,3.0,2.95,3.0,4855
2020-11-11 00:00:00+05:30,3.1,3.1,2.9,2.9,184755
2020-11-12 00:00:00+05:30,2.75,2.95,2.75,2.9,3805
2020-11-13 00:00:00+05:30,2.8,3.05,2.8,3.05,3710
2020-11-14 00:00:00+05:30,3.05,3.05,3.05,3.05,4095
2020-11-17 00:00:00+05:30,3.05,3.15,3.05,3.1,3735
2020-11-18 00:00:00+05:30,2.95,2.95,2.95,2.95,335
2020-11-19 00:00:00+05:30,2.95,2.95,2.95,2.95,3870
2020-11-20 00:00:00+05:30,2.95,2.95,2.95,2.95,4435
2020-11-23 00:00:00+05:30,3.0,3.05,2.8,3.05,4080
2020-11-24 00:00:00+05:30,3.0,3.0,3.0,3.0,4400
2020-11-25 00:00:00+05:30,3.0,3.0,3.0,3.0,2645
2020-11-26 00:00:00+05:30,3.0,3.0,3.0,3.0,3290
2020-11-27 00:00:00+05:30,2.95,2.95,2.95,2.95,3790
2020-12-01 00:00:00+05:30,2.95,2.95,2.95,2.95,3555
2020-12-02 00:00:00+05:30,2.85,2.95,2.85,2.95,4675
2020-12-03 00:00:00+05:30,2.85,2.9,2.85,2.9,6360
2020-12-04 00:00:00+05:30,2.85,2.95,2.75,2.9,5120
2020-12-07 00:00:00+05:30,3.05,3.05,2.75,2.95,5820
2020-12-08 00:00:00+05:30,2.95,2.95,2.95,2.95,3220
2020-12-09 00:00:00+05:30,2.95,3.0,2.95,3.0,8760
2020-12-10 00:00:00+05:30,3.0,3.0,3.0,3.0,5330
2020-12-11 00:00:00+05:30,2.95,2.95,2.95,2.95,4095
2020-12-14 00:00:00+05:30,2.95,2.95,2.95,2.95,3230
2020-12-15 00:00:00+05:30,2.95,2.95,2.95,2.95,6055
2020-12-16 00:00:00+05:30,3.0,3.0,3.0,3.0,6390
2020-12-17 00:00:00+05:30,3.0,3.0,2.95,2.95,2915
2020-12-18 00:00:00+05:30,2.95,2.95,2.95,2.95,5985
2020-12-21 00:00:00+05:30,2.8,2.95,2.8,2.9,4050
2020-12-22 00:00:00+05:30,2.85,2.85,2.85,2.85,2505
2020-12-23 00:00:00+05:30,2.75,2.95,2.75,2.9,11295
2020-12-24 00:00:00+05:30,2.95,2.95,2.75,2.85,33585
2020-12-28 00:00:00+05:30,2.95,2.95,2.85,2.9,6755
2020-12-29 00:00:00+05:30,2.9,2.9,2.85,2.9,19250
2020-12-30 00:00:00+05:30,2.95,3.05,2.8,2.95,21245
2020-12-31 00:00:00+05:30,2.8,3.1,2.8,3.1,4140
2021-01-01 00:00:00+05:30,3.2,3.2,2.95,3.05,2205
2021-01-04 00:00:00+05:30,3.05,3.05,3.05,3.05,2825
2021-01-05 00:00:00+05:30,3.05,3.05,2.95,3.05,6600
2021-01-06 00:00:00+05:30,2.95,2.95,2.95,2.95,480
2021-01-07 00:00:00+05:30,2.95,3.05,2.8,3.05,6300
2021-01-08 00:00:00+05:30,3.0,3.2,2.9,3.2,23610
2021-01-11 00:00:00+05:30,3.2,3.2,3.2,3.2,4420
2021-01-12 00:00:00+05:30,3.05,3.35,3.05,3.3,2495
2021-01-13 00:00:00+05:30,3.3,3.3,3.3,3.3,525
2021-01-19 00:00:00+05:30,3.2,3.2,3.15,3.15,1635
2021-01-20 00:00:00+05:30,3.1,3.1,3.1,3.1,580
2021-01-21 00:00:00+05:30,2.95,2.95,2.95,2.95,630
2021-01-22 00:00:00+05:30,2.95,2.95,2.95,2.95,85855
2021-01-25 00:00:00+05:30,2.8,2.8,2.8,2.8,535
